AI_Model_000001 | Base_Model: GPT | Type: Large Language Model | Size: Tiny | Domain: General AI | Primary_Task: Text Generation
AI_Model_000038 | Base_Model: AutoEncoder | Type: Generative Model | Size: Small | Domain: General AI | Primary_Task: Representation Learning
AI_Model_000039 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Small | Domain: General AI | Primary_Task: Synthetic Data Generation
AI_Model_000040 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Small | Domain: General AI | Primary_Task: Sequence Modeling
AI_Model_000041 | Base_Model: GPT | Type: Large Language Model | Size: Base | Domain: General AI | Primary_Task: Text Generation
AI_Model_000042 | Base_Model: BERT | Type: Transformer Encoder | Size: Base | Domain: General AI | Primary_Task: Text Classification
AI_Model_000043 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Base | Domain: General AI | Primary_Task: Text Transformation
AI_Model_000044 | Base_Model: Llama | Type: Large Language Model | Size: Base | Domain: General AI | Primary_Task: Text Generation
AI_Model_000045 | Base_Model: Mistral | Type: Large Language Model | Size: Base | Domain: General AI | Primary_Task: Text Generation
AI_Model_000046 | Base_Model: Claude | Type: Large Language Model | Size: Base | Domain: General AI | Primary_Task: Conversational AI
AI_Model_000047 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Base | Domain: General AI | Primary_Task: Multimodal Generation
AI_Model_000048 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Base | Domain: General AI | Primary_Task: Speech-to-Text
AI_Model_000049 | Base_Model: CLIP | Type: Vision-Language Model | Size: Base | Domain: General AI | Primary_Task: Image-Text Understanding
AI_Model_000050 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Base | Domain: General AI | Primary_Task: Image Generation
AI_Model_000051 | Base_Model: DALL-E | Type: Generative Image Model | Size: Base | Domain: General AI | Primary_Task: Image Generation
AI_Model_000052 | Base_Model: YOLO | Type: Computer Vision Model | Size: Base | Domain: General AI | Primary_Task: Object Detection
AI_Model_000053 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Base | Domain: General AI | Primary_Task: Image Classification
AI_Model_000054 | Base_Model: ViT | Type: Vision Transformer | Size: Base | Domain: General AI | Primary_Task: Image Classification
AI_Model_000055 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Base | Domain: General AI | Primary_Task: Audio Generation
AI_Model_000056 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Base | Domain: General AI | Primary_Task: Speech Recognition
AI_Model_000057 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Base | Domain: General AI | Primary_Task: Generative Modeling
AI_Model_000058 | Base_Model: AutoEncoder | Type: Generative Model | Size: Base | Domain: General AI | Primary_Task: Representation Learning
AI_Model_000059 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Base | Domain: General AI | Primary_Task: Synthetic Data Generation
AI_Model_000060 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Base | Domain: General AI | Primary_Task: Sequence Modeling
AI_Model_000061 | Base_Model: GPT | Type: Large Language Model | Size: Medium | Domain: General AI | Primary_Task: Text Generation
AI_Model_000062 | Base_Model: BERT | Type: Transformer Encoder | Size: Medium | Domain: General AI | Primary_Task: Text Classification
AI_Model_000063 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Medium | Domain: General AI | Primary_Task: Text Transformation
AI_Model_000064 | Base_Model: Llama | Type: Large Language Model | Size: Medium | Domain: General AI | Primary_Task: Text Generation
AI_Model_000065 | Base_Model: Mistral | Type: Large Language Model | Size: Medium | Domain: General AI | Primary_Task: Text Generation
AI_Model_000066 | Base_Model: Claude | Type: Large Language Model | Size: Medium | Domain: General AI | Primary_Task: Conversational AI
AI_Model_000067 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Medium | Domain: General AI | Primary_Task: Multimodal Generation
AI_Model_000068 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Medium | Domain: General AI | Primary_Task: Speech-to-Text
AI_Model_000069 | Base_Model: CLIP | Type: Vision-Language Model | Size: Medium | Domain: General AI | Primary_Task: Image-Text Understanding
AI_Model_000070 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Medium | Domain: General AI | Primary_Task: Image Generation
AI_Model_000071 | Base_Model: DALL-E | Type: Generative Image Model | Size: Medium | Domain: General AI | Primary_Task: Image Generation
AI_Model_000072 | Base_Model: YOLO | Type: Computer Vision Model | Size: Medium | Domain: General AI | Primary_Task: Object Detection
AI_Model_000073 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Medium | Domain: General AI | Primary_Task: Image Classification
AI_Model_000074 | Base_Model: ViT | Type: Vision Transformer | Size: Medium | Domain: General AI | Primary_Task: Image Classification
AI_Model_000075 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Medium | Domain: General AI | Primary_Task: Audio Generation
AI_Model_000076 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Medium | Domain: General AI | Primary_Task: Speech Recognition
AI_Model_000077 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Medium | Domain: General AI | Primary_Task: Generative Modeling
AI_Model_000078 | Base_Model: AutoEncoder | Type: Generative Model | Size: Medium | Domain: General AI | Primary_Task: Representation Learning
AI_Model_000079 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Medium | Domain: General AI | Primary_Task: Synthetic Data Generation
AI_Model_000080 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Medium | Domain: General AI | Primary_Task: Sequence Modeling
AI_Model_000081 | Base_Model: GPT | Type: Large Language Model | Size: Large | Domain: General AI | Primary_Task: Text Generation
AI_Model_000082 | Base_Model: BERT | Type: Transformer Encoder | Size: Large | Domain: General AI | Primary_Task: Text Classification
AI_Model_000083 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Large | Domain: General AI | Primary_Task: Text Transformation
AI_Model_000084 | Base_Model: Llama | Type: Large Language Model | Size: Large | Domain: General AI | Primary_Task: Text Generation
AI_Model_000085 | Base_Model: Mistral | Type: Large Language Model | Size: Large | Domain: General AI | Primary_Task: Text Generation
AI_Model_000086 | Base_Model: Claude | Type: Large Language Model | Size: Large | Domain: General AI | Primary_Task: Conversational AI
AI_Model_000087 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Large | Domain: General AI | Primary_Task: Multimodal Generation
AI_Model_000088 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Large | Domain: General AI | Primary_Task: Speech-to-Text
AI_Model_000089 | Base_Model: CLIP | Type: Vision-Language Model | Size: Large | Domain: General AI | Primary_Task: Image-Text Understanding
AI_Model_000090 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Large | Domain: General AI | Primary_Task: Image Generation
AI_Model_000091 | Base_Model: DALL-E | Type: Generative Image Model | Size: Large | Domain: General AI | Primary_Task: Image Generation
AI_Model_000092 | Base_Model: YOLO | Type: Computer Vision Model | Size: Large | Domain: General AI | Primary_Task: Object Detection
AI_Model_000093 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Large | Domain: General AI | Primary_Task: Image Classification
AI_Model_000094 | Base_Model: ViT | Type: Vision Transformer | Size: Large | Domain: General AI | Primary_Task: Image Classification
AI_Model_000095 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Large | Domain: General AI | Primary_Task: Audio Generation
AI_Model_000096 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Large | Domain: General AI | Primary_Task: Speech Recognition
AI_Model_000097 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Large | Domain: General AI | Primary_Task: Generative Modeling
AI_Model_000098 | Base_Model: AutoEncoder | Type: Generative Model | Size: Large | Domain: General AI | Primary_Task: Representation Learning
AI_Model_000099 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Large | Domain: General AI | Primary_Task: Synthetic Data Generation
AI_Model_000100 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Large | Domain: General AI | Primary_Task: Sequence Modeling
AI_Model_000101 | Base_Model: GPT | Type: Large Language Model | Size: XL | Domain: General AI | Primary_Task: Text Generation
AI_Model_000102 | Base_Model: BERT | Type: Transformer Encoder | Size: XL | Domain: General AI | Primary_Task: Text Classification
AI_Model_000103 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: XL | Domain: General AI | Primary_Task: Text Transformation
AI_Model_000104 | Base_Model: Llama | Type: Large Language Model | Size: XL | Domain: General AI | Primary_Task: Text Generation
AI_Model_000105 | Base_Model: Mistral | Type: Large Language Model | Size: XL | Domain: General AI | Primary_Task: Text Generation
AI_Model_000106 | Base_Model: Claude | Type: Large Language Model | Size: XL | Domain: General AI | Primary_Task: Conversational AI
AI_Model_000107 | Base_Model: Gemini | Type: Multimodal AI Model | Size: XL | Domain: General AI | Primary_Task: Multimodal Generation
AI_Model_000108 | Base_Model: Whisper | Type: Speech Recognition Model | Size: XL | Domain: General AI | Primary_Task: Speech-to-Text
AI_Model_000109 | Base_Model: CLIP | Type: Vision-Language Model | Size: XL | Domain: General AI | Primary_Task: Image-Text Understanding
AI_Model_000110 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: XL | Domain: General AI | Primary_Task: Image Generation
AI_Model_000111 | Base_Model: DALL-E | Type: Generative Image Model | Size: XL | Domain: General AI | Primary_Task: Image Generation
AI_Model_000112 | Base_Model: YOLO | Type: Computer Vision Model | Size: XL | Domain: General AI | Primary_Task: Object Detection
AI_Model_000113 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: XL | Domain: General AI | Primary_Task: Image Classification
AI_Model_000114 | Base_Model: ViT | Type: Vision Transformer | Size: XL | Domain: General AI | Primary_Task: Image Classification
AI_Model_000115 | Base_Model: WaveNet | Type: Generative Audio Model | Size: XL | Domain: General AI | Primary_Task: Audio Generation
AI_Model_000116 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: XL | Domain: General AI | Primary_Task: Speech Recognition
AI_Model_000117 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: XL | Domain: General AI | Primary_Task: Generative Modeling
AI_Model_000118 | Base_Model: AutoEncoder | Type: Generative Model | Size: XL | Domain: General AI | Primary_Task: Representation Learning
AI_Model_000119 | Base_Model: GAN | Type: Generative Adversarial Network | Size: XL | Domain: General AI | Primary_Task: Synthetic Data Generation
AI_Model_000120 | Base_Model: RNN | Type: Recurrent Neural Network | Size: XL | Domain: General AI | Primary_Task: Sequence Modeling
AI_Model_000121 | Base_Model: GPT | Type: Large Language Model | Size: XXL | Domain: General AI | Primary_Task: Text Generation
AI_Model_000122 | Base_Model: BERT | Type: Transformer Encoder | Size: XXL | Domain: General AI | Primary_Task: Text Classification
AI_Model_000123 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: XXL | Domain: General AI | Primary_Task: Text Transformation
AI_Model_000124 | Base_Model: Llama | Type: Large Language Model | Size: XXL | Domain: General AI | Primary_Task: Text Generation
AI_Model_000125 | Base_Model: Mistral | Type: Large Language Model | Size: XXL | Domain: General AI | Primary_Task: Text Generation
AI_Model_000126 | Base_Model: Claude | Type: Large Language Model | Size: XXL | Domain: General AI | Primary_Task: Conversational AI
AI_Model_000127 | Base_Model: Gemini | Type: Multimodal AI Model | Size: XXL | Domain: General AI | Primary_Task: Multimodal Generation
AI_Model_000128 | Base_Model: Whisper | Type: Speech Recognition Model | Size: XXL | Domain: General AI | Primary_Task: Speech-to-Text
AI_Model_000129 | Base_Model: CLIP | Type: Vision-Language Model | Size: XXL | Domain: General AI | Primary_Task: Image-Text Understanding
AI_Model_000130 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: XXL | Domain: General AI | Primary_Task: Image Generation
AI_Model_000131 | Base_Model: DALL-E | Type: Generative Image Model | Size: XXL | Domain: General AI | Primary_Task: Image Generation
AI_Model_000132 | Base_Model: YOLO | Type: Computer Vision Model | Size: XXL | Domain: General AI | Primary_Task: Object Detection
AI_Model_000133 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: XXL | Domain: General AI | Primary_Task: Image Classification
AI_Model_000134 | Base_Model: ViT | Type: Vision Transformer | Size: XXL | Domain: General AI | Primary_Task: Image Classification
AI_Model_000135 | Base_Model: WaveNet | Type: Generative Audio Model | Size: XXL | Domain: General AI | Primary_Task: Audio Generation
AI_Model_000136 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: XXL | Domain: General AI | Primary_Task: Speech Recognition
AI_Model_000137 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: XXL | Domain: General AI | Primary_Task: Generative Modeling
AI_Model_000138 | Base_Model: AutoEncoder | Type: Generative Model | Size: XXL | Domain: General AI | Primary_Task: Representation Learning
AI_Model_000139 | Base_Model: GAN | Type: Generative Adversarial Network | Size: XXL | Domain: General AI | Primary_Task: Synthetic Data Generation
AI_Model_000140 | Base_Model: RNN | Type: Recurrent Neural Network | Size: XXL | Domain: General AI | Primary_Task: Sequence Modeling
AI_Model_000141 | Base_Model: GPT | Type: Large Language Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000142 | Base_Model: BERT | Type: Transformer Encoder | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_000143 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_000144 | Base_Model: Llama | Type: Large Language Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000145 | Base_Model: Mistral | Type: Large Language Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000146 | Base_Model: Claude | Type: Large Language Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_000147 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_000148 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_000149 | Base_Model: CLIP | Type: Vision-Language Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_000150 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_000151 | Base_Model: DALL-E | Type: Generative Image Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_000152 | Base_Model: YOLO | Type: Computer Vision Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_000153 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_000154 | Base_Model: ViT | Type: Vision Transformer | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_000155 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_000156 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_000157 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Generative Modeling
AI_Model_000158 | Base_Model: AutoEncoder | Type: Generative Model | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Representation Learning
AI_Model_000159 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Synthetic Data Generation
AI_Model_000160 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Tiny | Domain: Natural Language Processing | Primary_Task: Sequence Modeling
AI_Model_000161 | Base_Model: GPT | Type: Large Language Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000162 | Base_Model: BERT | Type: Transformer Encoder | Size: Small | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_000163 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Small | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_000164 | Base_Model: Llama | Type: Large Language Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000165 | Base_Model: Mistral | Type: Large Language Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000166 | Base_Model: Claude | Type: Large Language Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_000167 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_000168 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_000169 | Base_Model: CLIP | Type: Vision-Language Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_000170 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_000171 | Base_Model: DALL-E | Type: Generative Image Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_000172 | Base_Model: YOLO | Type: Computer Vision Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_000173 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Small | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_000174 | Base_Model: ViT | Type: Vision Transformer | Size: Small | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_000175 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_000176 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_000177 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Small | Domain: Natural Language Processing | Primary_Task: Generative Modeling
AI_Model_000178 | Base_Model: AutoEncoder | Type: Generative Model | Size: Small | Domain: Natural Language Processing | Primary_Task: Representation Learning
AI_Model_000179 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Small | Domain: Natural Language Processing | Primary_Task: Synthetic Data Generation
AI_Model_000180 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Small | Domain: Natural Language Processing | Primary_Task: Sequence Modeling
AI_Model_000181 | Base_Model: GPT | Type: Large Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000182 | Base_Model: BERT | Type: Transformer Encoder | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_000183 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_000184 | Base_Model: Llama | Type: Large Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000185 | Base_Model: Mistral | Type: Large Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000186 | Base_Model: Claude | Type: Large Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_000187 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_000188 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_000189 | Base_Model: CLIP | Type: Vision-Language Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_000190 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_000191 | Base_Model: DALL-E | Type: Generative Image Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_000192 | Base_Model: YOLO | Type: Computer Vision Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_000193 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Base | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_000194 | Base_Model: ViT | Type: Vision Transformer | Size: Base | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_000195 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_000196 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_000197 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Base | Domain: Natural Language Processing | Primary_Task: Generative Modeling
AI_Model_000198 | Base_Model: AutoEncoder | Type: Generative Model | Size: Base | Domain: Natural Language Processing | Primary_Task: Representation Learning
AI_Model_000199 | Base_Model: GAN | Type: Generative Adversarial Network | Size: Base | Domain: Natural Language Processing | Primary_Task: Synthetic Data Generation
AI_Model_000200 | Base_Model: RNN | Type: Recurrent Neural Network | Size: Base | Domain: Natural Language Processing | Primary_Task: Sequence Modeling
AI_Model_000201 | Base_Model: GPT | Type: Large Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000202 | Base_Model: BERT | Type: Transformer Encoder | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Classification
AI_Model_000203 | Base_Model: T5 | Type: Text-to-Text Transformer | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Transformation
AI_Model_000204 | Base_Model: Llama | Type: Large Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000205 | Base_Model: Mistral | Type: Large Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Text Generation
AI_Model_000206 | Base_Model: Claude | Type: Large Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Conversational AI
AI_Model_000207 | Base_Model: Gemini | Type: Multimodal AI Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Multimodal Generation
AI_Model_000208 | Base_Model: Whisper | Type: Speech Recognition Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Speech-to-Text
AI_Model_000209 | Base_Model: CLIP | Type: Vision-Language Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image-Text Understanding
AI_Model_000210 | Base_Model: Stable Diffusion | Type: Diffusion Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_000211 | Base_Model: DALL-E | Type: Generative Image Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image Generation
AI_Model_000212 | Base_Model: YOLO | Type: Computer Vision Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Object Detection
AI_Model_000213 | Base_Model: ResNet | Type: Convolutional Neural Network | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_000214 | Base_Model: ViT | Type: Vision Transformer | Size: Medium | Domain: Natural Language Processing | Primary_Task: Image Classification
AI_Model_000215 | Base_Model: WaveNet | Type: Generative Audio Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Audio Generation
AI_Model_000216 | Base_Model: Wav2Vec | Type: Speech Representation Model | Size: Medium | Domain: Natural Language Processing | Primary_Task: Speech Recognition
AI_Model_000217 | Base_Model: Diffusion Transformer | Type: Diffusion Transformer | Size: Medium | Domain: Natural Language Processing | Primary_Task: Generative Modeling
